time,open,high,low,close
2012-02-24 09:00:00,426.32,429.42,425.67,425.72
2012-02-24 10:00:00,425.9,427.49,423.43,423.43
2012-02-24 11:00:00,425.9,427.49,423.43,423.43
2012-02-24 13:00:00,425.9,427.49,423.43,423.43
2012-02-24 14:00:00,425.9,427.49,423.43,423.43
2012-02-27 09:00:00,428.72,429.37,426.25,429.37
2012-02-27 10:00:00,429.42,430.75,428.41,428.41
2012-02-27 11:00:00,429.42,430.75,428.41,428.41
2012-02-27 13:00:00,429.42,430.75,428.41,428.41
2012-02-27 14:00:00,429.42,430.75,428.41,428.41
2012-02-28 09:00:00,427.9,428.61,425.59,427.59
2012-02-28 10:00:00,427.09,427.19,421.65,422.22
2012-02-28 11:00:00,427.09,427.19,421.65,422.22
2012-02-28 13:00:00,427.09,427.19,421.65,422.22
2012-02-28 14:00:00,427.09,427.19,421.65,422.22
2012-02-29 09:00:00,422.63,423.52,418.01,421.64
2012-02-29 10:00:00,421.37,423.64,420.64,423.64
2012-02-29 11:00:00,421.37,423.64,420.64,423.64
2012-02-29 13:00:00,421.37,423.64,420.64,423.64
2012-02-29 14:00:00,421.37,423.64,420.64,423.64
2012-03-01 09:00:00,424.75,427.61,422.65,427.61
2012-03-01 10:00:00,427.4,427.95,426.51,427.95
2012-03-01 11:00:00,427.4,427.95,426.51,427.95
2012-03-01 13:00:00,427.4,427.95,426.51,427.95
2012-03-01 14:00:00,427.4,427.95,426.51,427.95
2012-03-02 09:00:00,438.22,439.49,434.62,435.92
2012-03-02 10:00:00,436.0,439.6,436.0,439.6
2012-03-02 11:00:00,436.0,439.6,436.0,439.6
2012-03-02 13:00:00,436.0,439.6,436.0,439.6
2012-03-02 14:00:00,436.0,439.6,436.0,439.6
2012-03-05 09:00:00,439.6,458.24,439.6,458.24
2012-03-05 10:00:00,457.87,458.55,457.47,457.5
2012-03-05 11:00:00,457.51,458.06,457.51,458.05
2012-03-05 13:00:00,458.04,459.8,458.02,458.02
2012-03-05 14:00:00,457.21,457.21,457.21,457.21
2012-03-06 09:00:00,457.21,468.15,454.28,458.7
2012-03-06 10:00:00,458.52,458.67,444.99,447.97
2012-03-06 11:00:00,448.36,451.51,447.8,448.19
2012-03-06 13:00:00,448.25,449.24,447.57,448.41
2012-03-06 14:00:00,448.25,449.24,447.57,448.41
2012-03-07 09:00:00,445.0,445.0,433.69,437.99
2012-03-07 10:00:00,437.44,438.99,436.31,438.99
2012-03-07 11:00:00,439.12,444.25,439.12,442.0
2012-03-07 13:00:00,442.84,443.52,441.06,443.52
2012-03-07 14:00:00,444.02,444.02,444.02,444.02
2012-03-08 09:00:00,444.02,444.02,436.41,442.46
2012-03-08 10:00:00,442.53,442.53,435.92,438.35
2012-03-08 11:00:00,438.32,438.41,436.76,437.53
2012-03-08 13:00:00,437.68,437.75,432.66,433.08
2012-03-08 14:00:00,431.66,431.66,431.66,431.66
2012-03-09 09:00:00,431.66,435.27,428.38,429.75
2012-03-09 10:00:00,429.73,430.52,424.43,426.3
2012-03-09 11:00:00,426.83,428.67,426.59,428.5
2012-03-09 13:00:00,428.2,432.33,428.2,432.33
2012-03-09 14:00:00,432.11,432.11,432.11,432.11
2012-03-12 09:00:00,432.11,432.61,426.75,427.84
2012-03-12 10:00:00,427.88,428.73,425.55,425.55
2012-03-12 11:00:00,425.13,425.26,423.43,424.56
2012-03-12 13:00:00,425.1,426.64,425.1,426.19
2012-03-12 14:00:00,428.02,428.02,428.02,428.02
2012-03-13 09:00:00,428.02,431.52,427.76,431.52
2012-03-13 10:00:00,431.89,433.66,428.0,428.33
2012-03-13 11:00:00,427.9,429.4,427.81,427.97
2012-03-13 13:00:00,428.2,431.04,428.07,431.04
2012-03-13 14:00:00,429.39,429.39,429.39,429.39
2012-03-14 09:00:00,429.39,437.23,429.39,433.41
2012-03-14 10:00:00,433.57,433.57,429.72,430.0
2012-03-14 11:00:00,430.03,433.27,430.03,432.32
2012-03-14 13:00:00,432.14,432.91,429.22,431.74
2012-03-14 14:00:00,433.86,433.86,433.86,433.86
2012-03-15 09:00:00,433.86,435.79,430.39,434.75
2012-03-15 10:00:00,434.68,438.18,431.8,438.18
2012-03-15 11:00:00,438.38,439.06,436.53,436.53
2012-03-15 13:00:00,436.9,442.55,436.9,441.86
2012-03-15 14:00:00,441.85,441.85,441.85,441.85
2012-03-16 09:00:00,441.85,450.32,441.85,446.69
2012-03-16 10:00:00,446.63,447.22,442.71,442.71
2012-03-16 11:00:00,442.43,442.99,439.87,442.99
2012-03-16 13:00:00,443.51,446.15,443.22,445.01
2012-03-16 14:00:00,441.89,441.89,438.52,438.52
2012-03-19 09:00:00,438.52,438.52,433.6,437.27
2012-03-19 10:00:00,437.86,439.88,437.45,438.51
2012-03-19 11:00:00,438.4,440.92,438.11,440.17
2012-03-19 13:00:00,440.33,440.89,438.01,438.31
2012-03-19 14:00:00,438.07,438.07,438.07,438.07
2012-03-20 09:00:00,438.07,441.73,435.2,438.56
2012-03-20 10:00:00,438.72,438.72,436.14,436.4
2012-03-20 11:00:00,436.18,439.01,436.18,438.52
2012-03-20 13:00:00,438.49,440.39,438.29,440.39
2012-03-20 14:00:00,440.29,440.29,440.29,440.29
2012-03-21 09:00:00,440.29,445.86,440.29,444.11
2012-03-21 10:00:00,443.88,444.67,443.35,444.58
2012-03-21 11:00:00,444.81,448.25,444.81,448.25
2012-03-21 13:00:00,447.92,450.25,447.28,447.35
